09/01/2018 02.38:36;SSI-D01401050-MM-RED;Zeomila Zipper Casual Blouse (M,Red);1;115000;115000;Pesanan ID-20180109-853724
09/01/2018 02.38:36;SSI-D01037822-XX-BLA;Dellaya Plain Loose Big Blouse (XXL,Black);1;125000;125000;Pesanan ID-20180109-853724
09/01/2018 02.07:08;SSI-D01322275-XL-WHI;Thafqya Plain Raglan Blouse (XL,White);2;115000;230000;Pesanan ID-20180108-149680
08/01/2018 22.05:15;SSI-D01401064-XL-RED;Zeomila Zipper Casual Blouse (XL,Red);1;125000;125000;Pesanan ID-20180108-548167
08/01/2018 22.05:15;SSI-D01322275-XL-WHI;Thafqya Plain Raglan Blouse (XL,White);1;115000;115000;Pesanan ID-20180108-548167
08/01/2018 21.37:12;SSI-D01401050-MM-RED;Zeomila Zipper Casual Blouse (M,Red);1;120000;120000;Pesanan ID-20180108-901847
08/01/2018 15.26:44;SSI-D01401050-MM-RED;Zeomila Zipper Casual Blouse (M,Red);1;110000;110000;Pesanan ID-20180108-170723
08/01/2018 15.26:44;SSI-D01220338-XX-SAL;Devibav Plain Trump Blouse (XXL,Salem);1;130000;130000;Pesanan ID-20180108-170723
08/01/2018 11.46:27;SSI-D01037822-XX-BLA;Dellaya Plain Loose Big Blouse (XXL,Black);1;110000;110000;Pesanan ID-20180108-268141
08/01/2018 11.41:26;SSI-D01401071-LL-RED;Zeomila Zipper Casual Blouse (L,Red);1;130000;130000;Pesanan ID-20180108-750817
08/01/2018 10.32:14;SSI-D01037812-X3-BLA;Dellaya Plain Loose Big Blouse (XXXL,Black);1;130000;130000;Pesanan ID-20180108-921818
08/01/2018 10.09:57;SSI-D00864652-SS-NAV;Deklia Plain Casual Blouse (S,Navy);1;120000;120000;Pesanan ID-20180108-054736
08/01/2018 09.51:40;SSI-D01322275-XL-WHI;Thafqya Plain Raglan Blouse (XL,White);1;115000;115000;Pesanan ID-20180108-771439
08/01/2018 08.12:12;SSI-D00864652-SS-NAV;Deklia Plain Casual Blouse (S,Navy);1;130000;130000;Pesanan ID-20180108-514947
08/01/2018 08.12:12;SSI-D01401064-XL-RED;Zeomila Zipper Casual Blouse (XL,Red);1;130000;130000;Pesanan ID-20180108-514947
08/01/2018 07.18:11;SSI-D01326205-MM-NAV;Siunfhi Ethnic Trump Blouse (M,Navy);1;130000;130000;Pesanan ID-20180108-300302
08/01/2018 05.14:14;SSI-D01466064-X3-BLA;Salyara Plain Casual Big Blouse (XXXL,Black);1;120000;120000;Pesanan ID-20180108-314485
08/01/2018 05.14:14;SSI-D01466064-X3-BLA;Salyara Plain Casual Big Blouse (XXXL,Black);1;115000;115000;Pesanan ID-20180108-314485
08/01/2018 05.08:47;SSI-D01037822-XX-BLA;Dellaya Plain Loose Big Blouse (XXL,Black);1;130000;130000;Pesanan ID-20180108-712081
08/01/2018 04.43:23;SSI-D01037822-XX-BLA;Dellaya Plain Loose Big Blouse (XXL,Black);1;115000;115000;Pesanan ID-20180108-290736
08/01/2018 04.43:23;SSI-D00864652-SS-NAV;Deklia Plain Casual Blouse (S,Navy);1;115000;115000;Pesanan ID-20180108-290736
08/01/2018 03.54:55;SSI-D00864652-SS-NAV;Deklia Plain Casual Blouse (S,Navy);1;110000;110000;Pesanan ID-20180108-516025
08/01/2018 03.42:09;SSI-D01220388-MM-SAL;Devibav Plain Trump Blouse (M,Salem);1;125000;125000;Pesanan ID-20180108-232069
08/01/2018 02.52:26;SSI-D01401050-MM-RED;Zeomila Zipper Casual Blouse (M,Red);1;110000;110000;Pesanan ID-20180108-787015
08/01/2018 01.06:26;SSI-D01401071-LL-RED;Zeomila Zipper Casual Blouse (L,Red);1;110000;110000;Pesanan ID-20180108-806361
08/01/2018 01.06:26;SSI-D01326201-XL-KHA;Siunfhi Ethnic Trump Blouse (XL,Khaki);1;115000;115000;Pesanan ID-20180108-806361
07/01/2018 23.04:35;SSI-D01401050-MM-RED;Zeomila Zipper Casual Blouse (M,Red);1;130000;130000;Pesanan ID-20180107-158796
07/01/2018 19.19:22;SSI-D01037822-XX-BLA;Dellaya Plain Loose Big Blouse (XXL,Black);1;130000;130000;Pesanan ID-20180107-954171
07/01/2018 16.58:38;SSI-D01466064-X3-BLA;Salyara Plain Casual Big Blouse (XXXL,Black);1;125000;125000;Pesanan ID-20180107-988936
07/01/2018 14.48:46;SSI-D01322234-LL-WHI;Thafqya Plain Raglan Blouse (L,White);1;130000;130000;Pesanan ID-20180107-824047
07/01/2018 14.48:46;SSI-D01466013-XX-BLA;Salyara Plain Casual Big Blouse (XXL,Black);1;115000;115000;Pesanan ID-20180107-824047
07/01/2018 14.24:03;SSI-D01466064-X3-BLA;Salyara Plain Casual Big Blouse (XXXL,Black);1;130000;130000;Pesanan ID-20180107-224203
07/01/2018 13.55:45;SSI-D01220355-XX-YEL;Devibav Plain Trump Blouse (XXL,Yellow);1;130000;130000;Pesanan ID-20180107-932533
07/01/2018 13.12:45;SSI-D01466013-XX-BLA;Salyara Plain Casual Big Blouse (XXL,Black);1;120000;120000;Pesanan ID-20180107-275815
07/01/2018 12.44:55;SSI-D01322234-LL-WHI;Thafqya Plain Raglan Blouse (L,White);1;110000;110000;Pesanan ID-20180107-792305
07/01/2018 12.25:36;SSI-D00864614-XL-NAV;Deklia Plain Casual Blouse (XL,Navy);1;130000;130000;Pesanan ID-20180107-557472
07/01/2018 11.19:39;SSI-D01401050-MM-RED;Zeomila Zipper Casual Blouse (M,Red);1;125000;125000;Pesanan ID-20180107-654373
07/01/2018 10.39:42;SSI-D00864661-MM-NAV;Deklia Plain Casual Blouse (M,Navy);1;130000;130000;Pesanan ID-20180107-256771
07/01/2018 10.39:42;SSI-D01322234-LL-WHI;Thafqya Plain Raglan Blouse (L,White);1;125000;125000;Pesanan ID-20180107-256771
07/01/2018 10.14:42;SSI-D00791077-MM-BWH;Zalekia Plain Casual Blouse (M,Broken White);1;115000;115000;Pesanan ID-20180107-267724
07/01/2018 10.14:42;SSI-D01401071-LL-RED;Zeomila Zipper Casual Blouse (L,Red);1;110000;110000;Pesanan ID-20180107-267724
07/01/2018 09.40:02;SSI-D01401050-MM-RED;Zeomila Zipper Casual Blouse (M,Red);1;110000;110000;Pesanan ID-20180107-637443
07/01/2018 08.30:46;SSI-D01401064-XL-RED;Zeomila Zipper Casual Blouse (XL,Red);1;130000;130000;Pesanan ID-20180107-394574
07/01/2018 07.24:23;SSI-D01037822-XX-BLA;Dellaya Plain Loose Big Blouse (XXL,Black);1;120000;120000;Pesanan ID-20180107-886518
07/01/2018 06.19:20;SSI-D01401064-XL-RED;Zeomila Zipper Casual Blouse (XL,Red);1;125000;125000;Pesanan ID-20180107-248621
07/01/2018 06.19:20;SSI-D01322275-XL-WHI;Thafqya Plain Raglan Blouse (XL,White);1;115000;115000;Pesanan ID-20180107-248621
07/01/2018 06.10:03;SSI-D01220334-XL-YEL;Devibav Plain Trump Blouse (XL,Yellow);1;125000;125000;Pesanan ID-20180107-886941
07/01/2018 03.51:39;SSI-D00864612-LL-NAV;Deklia Plain Casual Blouse (L,Navy);1;110000;110000;Pesanan ID-20180107-515949
07/01/2018 03.51:39;SSI-D00864614-XL-NAV;Deklia Plain Casual Blouse (XL,Navy);1;125000;125000;Pesanan ID-20180107-515949
07/01/2018 02.58:26;SSI-D01220322-MM-YEL;Devibav Plain Trump Blouse (M,Yellow);1;130000;130000;Pesanan ID-20180107-715783
07/01/2018 02.10:31;SSI-D00864661-MM-NAV;Deklia Plain Casual Blouse (M,Navy);1;130000;130000;Pesanan ID-20180107-487998
06/01/2018 22.50:25;SSI-D01322275-XL-WHI;Thafqya Plain Raglan Blouse (XL,White);1;120000;120000;Pesanan ID-20180106-916346
06/01/2018 22.50:25;SSI-D01326201-XL-KHA;Siunfhi Ethnic Trump Blouse (XL,Khaki);1;115000;115000;Pesanan ID-20180106-916346
06/01/2018 21.56:16;SSI-D00864612-LL-NAV;Deklia Plain Casual Blouse (L,Navy);1;120000;120000;Pesanan ID-20180106-747402
06/01/2018 15.00:36;SSI-D01466064-X3-BLA;Salyara Plain Casual Big Blouse (XXXL,Black);1;130000;130000;Pesanan ID-20180106-660361
06/01/2018 13.50:49;SSI-D01401064-XL-RED;Zeomila Zipper Casual Blouse (XL,Red);1;125000;125000;Pesanan ID-20180106-995226
06/01/2018 12.55:31;SSI-D00864614-XL-NAV;Deklia Plain Casual Blouse (XL,Navy);1;110000;110000;Pesanan ID-20180106-159566
06/01/2018 12.55:31;SSI-D01037822-XX-BLA;Dellaya Plain Loose Big Blouse (XXL,Black);1;130000;130000;Pesanan ID-20180106-159566
06/01/2018 12.34:35;SSI-D01322234-LL-WHI;Thafqya Plain Raglan Blouse (L,White);2;120000;240000;Pesanan ID-20180106-448993
06/01/2018 12.05:40;SSI-D01401064-XL-RED;Zeomila Zipper Casual Blouse (XL,Red);1;125000;125000;Pesanan ID-20180106-497805
06/01/2018 12.04:27;SSI-D01220307-XL-SAL;Devibav Plain Trump Blouse (XL,Salem);1;125000;125000;Pesanan ID-20180106-052436
06/01/2018 10.49:05;SSI-D01466064-X3-BLA;Salyara Plain Casual Big Blouse (XXXL,Black);1;130000;130000;Pesanan ID-20180106-191506
06/01/2018 10.49:05;SSI-D01401071-LL-RED;Zeomila Zipper Casual Blouse (L,Red);1;110000;110000;Pesanan ID-20180106-191506
06/01/2018 10.48:48;SSI-D01401071-LL-RED;Zeomila Zipper Casual Blouse (L,Red);1;125000;125000;Pesanan ID-20180106-963044
06/01/2018 09.46:52;SSI-D01326201-XL-KHA;Siunfhi Ethnic Trump Blouse (XL,Khaki);1;115000;115000;Pesanan ID-20180106-147883
06/01/2018 09.36:10;SSI-D00791077-MM-BWH;Zalekia Plain Casual Blouse (M,Broken White);1;115000;115000;Pesanan ID-20180106-194221
06/01/2018 09.36:10;SSI-D00864614-XL-NAV;Deklia Plain Casual Blouse (XL,Navy);1;120000;120000;Pesanan ID-20180106-194221
06/01/2018 09.32:13;SSI-D01037812-X3-BLA;Dellaya Plain Loose Big Blouse (XXXL,Black);1;130000;130000;Pesanan ID-20180106-941338
06/01/2018 09.10:38;SSI-D01220355-XX-YEL;Devibav Plain Trump Blouse (XXL,Yellow);1;125000;125000;Pesanan ID-20180106-840203
06/01/2018 09.10:38;SSI-D01037822-XX-BLA;Dellaya Plain Loose Big Blouse (XXL,Black);1;120000;120000;Pesanan ID-20180106-840203
